store_nbr,city,state,type,cluster,Periods,Periodicity
1,Quito,Pichincha,D,13,-1,Days
2,Quito,Pichincha,D,13,-2,Days
3,Quito,Pichincha,D,8,-3,Days
4,Quito,Pichincha,D,9,-4,Days
5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,-5,Days
6,Quito,Pichincha,D,13,-6,Days
7,Quito,Pichincha,D,8,-1,Days
8,Quito,Pichincha,D,8,-1,Days
9,Quito,Pichincha,B,6,-1,Days
10,Quito,Pichincha,C,15,-2,
11,Cayambe,Pichincha,B,6,1,
12,Latacunga,Cotopaxi,C,15,2,
13,Latacunga,Cotopaxi,C,15,2,
14,Riobamba,Chimborazo,C,7,4,
15,Ibarra,Imbabura,C,15,4,
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,5,
17,Quito,Pichincha,C,12,6,
18,Quito,Pichincha,B,16,6,
19,Guaranda,Bolivar,C,15,,
20,Quito,Pichincha,B,6,,
21,Santo Domingo,Santo Domingo de los Tsachilas,B,6,,
22,Puyo,Pastaza,C,7,,
23,Ambato,Tungurahua,D,9,,
24,Guayaquil,Guayas,D,1,,
25,Salinas,Santa Elena,D,1,,
26,Guayaquil,Guayas,D,10,,
27,Daule,Guayas,D,1,,
28,Guayaquil,Guayas,E,10,,
29,Guayaquil,Guayas,E,10,,
30,Guayaquil,Guayas,C,3,,
31,Babahoyo,Los Rios,B,10,,
32,Guayaquil,Guayas,C,3,,
33,Quevedo,Los Rios,C,3,,
34,Guayaquil,Guayas,B,6,,
35,Playas,Guayas,C,3,,
36,Libertad,Guayas,E,10,,
37,Cuenca,Azuay,D,2,,
38,Loja,Loja,D,4,,
39,Cuenca,Azuay,B,6,,
40,Machala,El Oro,C,3,,
41,Machala,El Oro,D,4,,
42,Cuenca,Azuay,D,2,,
43,Esmeraldas,Esmeraldas,E,10,,
44,Quito,Pichincha,A,5,,
45,Quito,Pichincha,A,11,,
46,Quito,Pichincha,A,14,,
47,Quito,Pichincha,A,14,,
48,Quito,Pichincha,A,14,,
49,Quito,Pichincha,A,11,,
50,Ambato,Tungurahua,A,14,,
51,Guayaquil,Guayas,A,17,,
52,Manta,Manabi,A,11,,
53,Manta,Manabi,D,13,,
54,El Carmen,Manabi,C,3,,
